,Product_Name,Brand,Capacity_kg,Machine_Type,Load_type,Color,Price,Discount_%,Reviews_Count
234,"Thomson 7.5 kg PureWash with Stainless Steel Drum, Magic Filter and Multiple Wash Programs Fully Automatic Top Load Washing Machine",Thomson,7.5,Fully Automatic,Top Load,Grey,29300,21,6756
235,"IFB 7 kg 5 Star with Steam Refresh program, 9 Swirl Wash, Eco Inverter, Powered by AI with Wifi Fully Automatic Front Load Washing Machine",IFB,7,Fully Automatic,Front Load,with In-built Heater Silver,8690,40,30648
236,Voltas Beko by A Tata Product 7 kg Semi Automatic Top Load Washing Machine,Voltas Beko by A Tata Product,7,Semi Automatic,Top Load,"Maroon, White",21743,9,23446
237,LG 7.5 kg Fully Automatic Top Load Washing Machine,LG,7.5,Fully Automatic,Top Load,Silver,9590,58,839
238,"TCL 8.5 kg 5 Star with Extra Powerful Motor, Magic Filter and Fast Dry Semi Automatic Top Load Washing Machine",TCL,8.5,Semi Automatic,Top Load,Grey,12999,34,401
239,LG 7 kg Semi Automatic Top Load Washing Machine,LG,7,Semi Automatic,Top Load,"Maroon, White",,,806
240,IFB 9 kg Fully Automatic Top Load Washing Machine,IFB,9,Fully Automatic,Top Load,with In-built Heater Black,26499,25,341
241,"TCL 8.5 kg 5 Star with Extra Powerful Motor, Magic Filter and Fast Dry Semi Automatic Top Load Washing Machine",TCL,8.5,Semi Automatic,Top Load,Grey,9590,58,401
242,realme TechLife 8 kg In-built Heater with ExpertWash Fully Automatic Front Load Washing Machine,realme TechLife,8,Fully Automatic,Front Load,with In-built Heater Grey,22990,47,2549
243,"IFB 8 kg 5 Star 2X Power Steam,Hard Water Wash Fully Automatic Front Load Washing Machine",IFB,8,Fully Automatic,Front Load,with In-built Heater Brown,40950,13,23
244,Unknown,Voltas Beko,7.5,Unknown,Unknown,Unknown,5289,29,587
245,Samsung 6.5 kg Diamond Drum feature Fully Automatic Top Load Washing Machine,Samsung,6.5,Fully Automatic,Top Load,Silver,14781,12,61845
246,"ONIDA 8 kg 5 Star Rating, Auto Scrubber Semi Automatic Top Load Washing Machine",ONIDA,8,Semi Automatic,Top Load,Red,10401,23,10520
247,LG 7.5 kg Semi Automatic Top Load Washing Machine,LG,7.5,Semi Automatic,Top Load,"Grey, White",12585,37,184
248,Haier 10 kg Semi Automatic Top Load Washing Machine,Haier,10,Semi Automatic,Top Load,"White, Black",14624,20,6970
249,Samsung 7 kg Fully Automatic Top Load Washing Machine,Samsung,7,Fully Automatic,Top Load,Silver,17150,23,29
250,Samsung 7 kg with Inverter Fully Automatic Top Load Washing Machine,Samsung,7,Fully Automatic,Top Load,"Grey, Black",19437,13,10
251,Samsung 7 kg Fully Automatic Top Load Washing Machine,Samsung,7,Fully Automatic,Top Load,Grey,16929,24,15
252,Samsung 7 kg Fully Automatic Top Load Washing Machine,Samsung,7,Fully Automatic,Top Load,Grey,22490,8,4
253,"IFB 8 kg 5 Star with Deep Clean Technology, ActivMix, Powered by AI, with Aqua Energie, Soft Close Door, Fully Automatic Top Load Washing Machine",IFB,8,Fully Automatic,Top Load,"Black, Grey",21990,26,26954
254,"IFB 6.5 kg 5 Star with Deep Clean Technology, ActivMix, Powered by AI, with Aqua Energie, Soft Close Door, Fully Automatic Top Load Washing Machine",IFB,6.5,Fully Automatic,Top Load,"Black, Grey",16990,24,26954
255,"IFB 7 kg 5 Star with Deep Clean Technology, ActivMix, Powered by AI, with Aqua Energie, Soft Close Door, Fully Automatic Top Load Washing Machine",IFB,7,Fully Automatic,Top Load,"Black, Grey",17990,24,26954
256,Samsung 6.5 kg 5 Star Inverter Wobble technology Fully Automatic Top Load Washing Machine,Samsung,6.5,Fully Automatic,Top Load,Grey,15990,25,24726
257,InnoQ 9 kg | Turbo Wash | Buzzer | Wheels | Turbo Jet Dryer | Magic Filter | Lint Filter Semi Automatic Top Load Washing Machine,InnoQ,9,Semi Automatic,Top Load,Grey,9190,60,3251
